User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 583,,,,
Test name: Guillaume_FRET,Date: 3/16/2017,Time: 11:52:30 AM,,,,
Fluorescence (FI), multichromatic,,,,,
,,,,,,
Well Row,Well Col,Content,fret_channel,acceptor_channel,donor_channel,concentration
I,1,acceptor_only.1,25283,176759,1391,1000
I,2,acceptor_only.1,11573,50155,1611,500
I,3,acceptor_only.1,6746,13788,1616,250
I,4,acceptor_only.1,4592,8901,1969,125
I,5,acceptor_only.1,3001,4313,1819,62.5
I,6,acceptor_only.1,1939,2746,2236,31.25
I,7,acceptor_only.1,1690,1336,2077,15.625
I,8,acceptor_only.1,1111,1053,2206,7.8125
I,9,acceptor_only.1,889,513,2009,3.90625
I,10,acceptor_only.1,718,445,2251,1.953125
I,11,acceptor_only.1,667,239,1981,0.9765625
I,12,acceptor_only.1,779,235,2066,0.48828125
I,13,acceptor_only.1,663,164,1944,0.244140625
I,14,acceptor_only.1,622,153,1961,0.122070313
I,15,acceptor_only.1,630,136,2005,0.061035156
I,16,acceptor_only.1,798,165,2027,0.030517578
I,17,acceptor_only.1,646,124,1904,0.015258789
I,18,acceptor_only.1,701,138,2085,0.007629395
I,19,acceptor_only.1,669,129,1982,0.003814697
I,20,acceptor_only.1,551,144,2106,0.001907349
I,21,acceptor_only.1,699,133,1945,0
I,22,acceptor_only.1,3120,122,2017,0
I,23,acceptor_only.1,763,126,1913,0
I,24,acceptor_only.1,809,162,2314,0
J,1,donor_only.1,24050,166868,1280,1000
J,2,donor_only.1,9357,34757,1589,500
J,3,donor_only.1,9600,17163,1762,250
J,4,donor_only.1,4809,8517,1770,125
J,5,donor_only.1,3100,5472,1746,62.5
J,6,donor_only.1,2079,3265,1922,31.25
J,7,donor_only.1,1738,2037,1907,15.625
J,8,donor_only.1,1316,1228,2106,7.8125
J,9,donor_only.1,1118,737,1964,3.90625
J,10,donor_only.1,966,589,2107,1.953125
J,11,donor_only.1,943,350,2013,0.9765625
J,12,donor_only.1,700,276,1962,0.48828125
J,13,donor_only.1,704,198,1853,0.244140625
J,14,donor_only.1,727,159,1928,0.122070313
J,15,donor_only.1,707,141,1885,0.061035156
J,16,donor_only.1,609,147,1940,0.030517578
J,17,donor_only.1,672,129,1931,0.015258789
J,18,donor_only.1,714,130,2038,0.007629395
J,19,donor_only.1,479,113,1916,0.003814697
J,20,donor_only.1,711,127,2063,0.001907349
J,21,donor_only.1,605,119,1854,0
J,22,donor_only.1,578,115,1999,0
J,23,donor_only.1,552,110,1855,0
J,24,donor_only.1,541,108,2101,0
K,1,titration.1,26493,161815,38948,1000
K,2,titration.1,12036,35441,41315,500
K,3,titration.1,6954,15602,35237,250
K,4,titration.1,5677,9430,30337,125
K,5,titration.1,4482,5933,27159,62.5
K,6,titration.1,2793,3243,24860,31.25
K,7,titration.1,2354,2163,23312,15.625
K,8,titration.1,1795,1415,22549,7.8125
K,9,titration.1,1511,849,23062,3.90625
K,10,titration.1,1091,507,20947,1.953125
K,11,titration.1,985,322,22119,0.9765625
K,12,titration.1,1028,259,21634,0.48828125
K,13,titration.1,963,218,23922,0.244140625
K,14,titration.1,1087,158,22634,0.122070313
K,15,titration.1,1085,154,22488,0.061035156
K,16,titration.1,1023,137,21961,0.030517578
K,17,titration.1,1107,137,21186,0.015258789
K,18,titration.1,975,113,21688,0.007629395
K,19,titration.1,660,66,18179,0.003814697
K,20,titration.1,832,127,21632,0.001907349
K,21,titration.1,912,124,19402,0
K,22,titration.1,881,132,21789,0
K,23,titration.1,757,110,19634,0
K,24,titration.1,677,131,21835,0
L,1,titration.2,27227,168206,39046,1000
L,2,titration.2,12452,33201,38874,500
L,3,titration.2,7650,14395,33813,250
L,4,titration.2,6030,10078,30139,125
L,5,titration.2,7443,9988,38700,62.5
L,6,titration.2,2925,3328,22920,31.25
L,7,titration.2,2226,2387,23475,15.625
L,8,titration.2,1894,1385,23563,7.8125
L,9,titration.2,1315,845,22264,3.90625
L,10,titration.2,1101,591,19517,1.953125
L,11,titration.2,11583,504,22313,0.9765625
L,12,titration.2,1003,299,22038,0.48828125
L,13,titration.2,988,212,21158,0.244140625
L,14,titration.2,893,190,22221,0.122070313
L,15,titration.2,762,150,22297,0.061035156
L,16,titration.2,1170,153,21189,0.030517578
L,17,titration.2,872,129,21396,0.015258789
L,18,titration.2,900,136,21199,0.007629395
L,19,titration.2,615,98,17133,0.003814697
L,20,titration.2,1098,125,19248,0.001907349
L,21,titration.2,958,113,20097,0
L,22,titration.2,868,132,20510,0
L,23,titration.2,893,117,19398,0
L,24,titration.2,721,110,20457,0
