User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 660,,,,
Test name: Guillaume_FRET,Date: 4/6/2017,Time: 1:17:26 PM,,,,
Fluorescence (FI), multichromatic,,,,,
,,,,,,
Well Row,Well Col,Content,fret_channel,acceptor_channel,donor_channel,concentration
M,1,blank_1,63111,177397,890,1000
M,2,blank_1,28636,77908,543,500
M,3,blank_1,14100,38566,369,250
M,4,blank_1,8966,24314,339,125
M,5,blank_1,5079,13137,301,62.5
M,6,blank_1,2839,7679,298,31.25
M,7,blank_1,1405,3592,276,15.625
M,8,blank_1,1284,2788,228,7.8125
M,9,blank_1,605,1411,231,3.90625
M,10,blank_1,504,879,226,1.953125
M,11,blank_1,414,627,218,0.9765625
M,12,blank_1,367,402,196,0.48828125
M,13,blank_1,334,236,216,0.244140625
M,14,blank_1,328,171,221,0.122070313
M,15,blank_1,271,119,236,0.061035156
M,16,blank_1,168,93,226,0.030517578
M,17,blank_1,234,78,255,0.015258789
M,18,blank_1,187,56,212,0.007629395
M,19,blank_1,211,54,219,0.003814697
M,20,blank_1,284,55,203,0.001907349
M,21,blank_1,204,46,208,0
M,22,blank_1,236,47,203,0
M,23,blank_1,242,44,209,0
M,24,blank_1,195,40,200,0
N,1,blank_2,61477,167808,3519,1000
N,2,blank_2,24659,69207,469,500
N,3,blank_2,14246,39319,396,250
N,4,blank_2,9177,24931,342,125
N,5,blank_2,5843,16140,286,62.5
N,6,blank_2,3392,8988,237,31.25
N,7,blank_2,1641,4462,242,15.625
N,8,blank_2,1225,2951,218,7.8125
N,9,blank_2,982,1729,233,3.90625
N,10,blank_2,612,928,223,1.953125
N,11,blank_2,512,530,212,0.9765625
N,12,blank_2,371,352,198,0.48828125
N,13,blank_2,374,252,242,0.244140625
N,14,blank_2,228,158,224,0.122070313
N,15,blank_2,302,114,209,0.061035156
N,16,blank_2,265,95,215,0.030517578
N,17,blank_2,254,72,206,0.015258789
N,18,blank_2,246,63,225,0.007629395
N,19,blank_2,163,54,228,0.003814697
N,20,blank_2,276,58,208,0.001907349
N,21,blank_2,207,49,195,0
N,22,blank_2,221,43,295,0
N,23,blank_2,219,43,206,0
N,24,blank_2,213,40,210,0
O,1,titration_1,72661,177855,34245,1000
O,2,titration_1,31536,71492,38160,500
O,3,titration_1,19051,43023,38911,250
O,4,titration_1,12954,19308,73956,125
O,5,titration_1,18261,15510,54349,62.5
O,6,titration_1,4339,8354,42441,31.25
O,7,titration_1,3411,4163,43248,15.625
O,8,titration_1,1945,2451,44839,7.8125
O,9,titration_1,1774,1655,43782,3.90625
O,10,titration_1,1230,920,43298,1.953125
O,11,titration_1,1022,607,45154,0.9765625
O,12,titration_1,800,371,43830,0.48828125
O,13,titration_1,1473,235,43690,0.244140625
O,14,titration_1,775,173,44890,0.122070313
O,15,titration_1,827,124,46769,0.061035156
O,16,titration_1,770,83,46276,0.030517578
O,17,titration_1,734,69,43256,0.015258789
O,18,titration_1,770,63,45316,0.007629395
O,19,titration_1,569,56,43975,0.003814697
O,20,titration_1,551,49,42612,0.001907349
O,21,titration_1,852,46,43353,0
O,22,titration_1,877,38,42575,0
O,23,titration_1,663,40,43432,0
O,24,titration_1,681,39,44066,0
P,1,titration_2,69838,172780,33168,1000
P,2,titration_2,29076,67856,36948,500
P,3,titration_2,19766,43416,38281,250
P,4,titration_2,11690,25555,40462,125
P,5,titration_2,6623,14294,41001,62.5
P,6,titration_2,4669,8017,43091,31.25
P,7,titration_2,2620,4513,43251,15.625
P,8,titration_2,2062,2898,41720,7.8125
P,9,titration_2,1362,1767,44495,3.90625
P,10,titration_2,1195,1005,43972,1.953125
P,11,titration_2,2792,656,45701,0.9765625
P,12,titration_2,798,348,42848,0.48828125
P,13,titration_2,1021,235,43989,0.244140625
P,14,titration_2,869,171,44926,0.122070313
P,15,titration_2,752,131,43429,0.061035156
P,16,titration_2,756,88,43771,0.030517578
P,17,titration_2,746,79,43940,0.015258789
P,18,titration_2,623,57,44296,0.007629395
P,19,titration_2,865,59,42967,0.003814697
P,20,titration_2,583,57,42373,0.001907349
P,21,titration_2,756,44,44660,0
P,22,titration_2,823,43,45877,0
P,23,titration_2,824,44,34305,0
P,24,titration_2,809,42,40984,0
